#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0071225157 1.3647654057 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0020687587 0.0742334202
-0.0056418185 2.4744012356 -25.7540149689 34.9942283630 0.0000000000 0.0000000000 -0.0040816460 0.1372815520
-0.0007856045 3.5022339821 -26.0661544800 34.7058372498 0.0000000000 0.0000000000 -0.0060731750 0.1971183568
0.0070199301 4.4554905891 -26.3479747772 34.4821052551 0.0000000000 0.0000000000 -0.0079720719 0.2543199360
0.0167344473 5.3422789574 -26.6224060059 34.3185691833 0.0000000000 0.0000000000 -0.0097963503 0.3095128238
0.0287085362 6.1712150574 -26.8933486938 34.1942481995 0.0000000000 0.0000000000 -0.0115670199 0.3630284965
0.0430781059 6.9480328560 -27.1495723724 34.1035766602 0.0000000000 0.0000000000 -0.0132840266 0.4150715470
0.0594555996 7.6784152985 -27.3848266602 34.0356216431 0.0000000000 0.0000000000 -0.0149730025 0.4658513665
0.0774347037 8.3663864136 -27.6015090942 33.9929618835 0.0000000000 0.0000000000 -0.0166511629 0.5155119300
0.0967243463 9.0153007507 -27.8032779694 33.9706573486 0.0000000000 0.0000000000 -0.0182889849 0.5641773343
0.1172323301 9.6282672882 -27.9947128296 33.9641952515 0.0000000000 0.0000000000 -0.0198832396 0.6119425297
0.1387055963 10.2075471878 -28.1702423096 33.9711494446 0.0000000000 0.0000000000 -0.0214465391 0.6588716507
0.1609578133 10.7549772263 -28.3256435394 33.9860038757 0.0000000000 0.0000000000 -0.0229600836 0.7050211430
0.1837784350 11.2721576691 -28.4609451294 34.0064582825 0.0000000000 0.0000000000 -0.0244461223 0.7504467964
0.2068376988 11.7606239319 -28.5776805878 34.0272178650 0.0000000000 0.0000000000 -0.0259024706 0.7952008247
0.2295494378 12.2219047546 -28.6785163879 34.0477981567 0.0000000000 0.0000000000 -0.0273342784 0.8393015265
0.2516368032 12.6571187973 -28.7628612518 34.0690498352 0.0000000000 0.0000000000 -0.0287394654 0.8827767968
0.2729068100 13.0675792694 -28.8308563232 34.0913162231 0.0000000000 0.0000000000 -0.0301019531 0.9256644249
0.2932898998 13.4545850754 -28.8834228516 34.1132011414 0.0000000000 0.0000000000 -0.0314221047 0.9679808021
0.3126591146 13.8193826675 -28.9234313965 34.1360893250 0.0000000000 0.0000000000 -0.0327092931 1.0097538233
